# Title:    JWST measured thermal background for observation planning: MIRI Imager
# Author:   Kate Rowlands (krowlands@stsci.edu) and Marshall Perrin (mperrin@stsci.edu)
# Date:     2026 May 07
# Version:  6.0
# Format:   comma separated variables (csv)
# Pedigree: This is a model thermal background for JWST derived from an ensemblee of in-flight
# background measurements. See Technical Reports by Rowlands and Cracraft for data and methods:
#    Rowlands et al. 2025   JWST-STScI-008978  "Monitoring the MIRI MRS Backgrounds"   
#    https://www.stsci.edu/files/live/sites/www/files/home/jwst/documentation/technical-documents/_documents/JWST-STScI-008978.pdf
#    Cracraft et al. 2025   JWST-STScI-008928  "Monitoring MIRI Imager Backgrounds"
#    https://www.stsci.edu/files/live/sites/www/files/home/jwst/documentation/technical-documents/_documents/JWST-STScI-008928.pdf
# The values here were obtained based on those methods iterated in May 2026 for the ensemble of data available then. 

# Measured background levels were obtained for each MIRI imager filter and various MRS wavelengths,
# for many datasets.  The estimated non-thermal background components (zodi, galaxy, stray light)
# were subtracted based on the JBT models.  This resulted in a set of estimated thermal background
# levels for Imager and MRS.  Splines were used to fit and scale the prior model curve
# thermal_curve_jwst_jrigby_4.0.csv to pass through the measured background levels at > 15 microns.
# This was done separately for the MIRI Imager and MRS measurements to accomodate their distinct
# background levels. 
# Columns: wavelength (micron) and equivalent sky radiance (MJy/SR)
# wave, thermal_flux
18.4,78.31333757854033
18.5,81.6523654988399
18.6,85.12783054024278
18.7,88.7399351123758
18.8,92.50597828151281
18.9,96.38286774219192
19.0,100.45689113684817
19.1,104.64132880601896
19.2,108.93548189671273
19.3,113.4262084791178
19.4,118.11350277237894
19.5,122.99725253712674
19.6,127.98873576679867
19.7,133.08684125936927
19.8,138.46852473979095
19.9,144.04486482580532
20.0,149.7258545232021
20.1,155.60007322272023
20.2,161.75704481301628
20.3,168.0164556754577
20.4,174.46758868240974
20.5,181.20059519639815
20.6,188.12473796290158
20.7,195.23954144954237
20.8,202.54456476940598
20.9,210.1307690878303
21.0,217.90675471120036
21.1,225.96408540552585
21.2,234.2122186799498
21.3,242.74419947642807
21.4,251.5615588027381
21.5,260.5736211861985
21.6,269.87387392576903
21.7,279.4638451625057
21.8,289.3450504016319
21.9,299.5189912354094
22.0,309.9871546730606
22.1,320.84390347955156
22.2,331.90502031972215
22.3,343.35783304983204
22.4,355.11087767141856
22.5,367.16556888172533
22.6,379.6167199017543
22.7,392.4660284099454
22.8,405.6215682457047
22.9,419.0847134161219
23.0,433.0444587248932
23.1,447.31494070998195
23.2,462.08554637716367
23.3,477.17000118470247
23.4,492.7580904616507
23.5,508.6631327739284
23.6,525.0753179079078
23.7,541.9020827745029
23.8,559.1450838545184
23.9,576.9007094646397
24.0,595.17093301176
24.1,613.8627978120027
24.2,632.9779777030249
24.3,652.7084454781315
24.4,672.8660145868595
24.5,693.5477375878044
24.6,714.7556349255703
24.7,736.4917370695925
24.8,758.8537668574744
24.9,781.6525206940222
25.0,805.0815351452893
25.1,829.0472040288815
25.2,853.6477354685206
25.3,878.7893305353635
25.4,904.5704462925725
25.5,930.8970898074233
25.6,957.9645396509652
25.7,985.1955354709565
25.8,1013.4620487084717
25.9,1042.7679782027863
26.0,1072.1469858832063
26.1,1102.5709844912121
26.2,1133.0713582428357
26.3,1165.5961333865139
26.4,1197.2280425393812
26.5,1230.892439047017
26.6,1264.642339697302
26.7,1298.478290281435
26.8,1334.36025022375
26.9,1370.3341766231686
27.0,1406.4006534861267
27.1,1444.5269482111637
27.2,1482.7518610072188
27.3,1522.061811877405
27.4,1561.4741113878738
27.5,1602.965946658658
27.6,1644.5664332048357
27.7,1686.276277273762
27.8,1730.0802311847938
27.9,1774.0000339633743
28.0,1819.0310065797119
28.1,1865.177755784812
28.2,1911.4478335680012
28.3,1959.838867797899
28.4,2008.3601120457326
28.5,2058.013465267985
28.6,2107.8014957678547
28.7,2159.73236983204
28.8,2211.805169564844
28.9,2265.027193454154
29.0,2319.403522535365
29.1,2374.9393064232954
29.2,2431.6397663827133
29.3,2489.510198616534
29.4,2547.543038209163
29.5,2606.7539584841284
29.6,2667.1484818480494
29.7,2728.732220789012
29.8,2791.510882469831
29.9,2855.490273651932
30.0,2920.6763059754426
30.1,2986.052380945156
30.2,3053.66846571112
30.3,3121.484151836438
30.4,3190.528427490401
30.5,3261.8361186287766
30.6,3333.35867760839
30.7,3406.1297914491593
30.8,3480.156426137734
30.9,3555.4457206340294
31.0,3632.004997722221
